,Base,Base_weight,Base2,Base2_weight,Prep,Prep2,Calc.T,Calc.t,Support,Support2,Support_frac,Support2_frac,Promoter,Promoter_weight,Promoter2,Promoter2_weight,T,H2,O2,CO,H2O,CO2,CH4,TOS,F/W,conversion
94,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,100.0,0.0,0.0,2.0,2.6,0.0,0.0,60.0,2.0,0.813
95,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,150.0,0.0,0.0,2.0,2.6,0.0,0.0,60.0,2.0,1.42
96,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,2.0,2.6,0.0,0.0,60.0,2.0,6.71
97,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,250.0,0.0,0.0,2.0,2.6,0.0,0.0,60.0,2.0,29.7
98,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,300.0,0.0,0.0,2.0,2.6,0.0,0.0,60.0,2.0,65.7
99,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,100.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.0
100,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,150.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.203
101,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.813
102,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,250.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,7.93
103,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,300.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,18.9
104,Pt,1.0,0,0.0,IWI,0,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,5.27
105,Pt,1.0,0,0.0,IWI,0,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,225.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,12.3
106,Pt,1.0,0,0.0,IWI,0,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,250.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,27.1
107,Pt,1.0,0,0.0,IWI,0,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,275.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,45.4
108,Pt,1.0,0,0.0,IWI,0,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,300.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,64.7
109,Pt,1.0,0,0.0,IWI,CP,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,325.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,78.7
110,Pt,1.0,0,0.0,IWI,CP,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,250.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,23.1
111,Pt,1.0,0,0.0,IWI,CP,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,275.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,43.2
112,Pt,1.0,0,0.0,IWI,CP,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,300.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,60.6
113,Pt,1.0,0,0.0,IWI,CP,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,325.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,73.3
114,Ir,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,150.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,0.553
115,Ir,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,200.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,0.221
116,Ir,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,250.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,0.479
117,Ir,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,301.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,0.737
118,Ir,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,351.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,2.47
119,Ir,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,400.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,15.7
120,Pd,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,149.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,16.5
121,Pd,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,199.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,16.1
122,Pd,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,252.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,14.5
123,Pd,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,301.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,23.1
124,Pd,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,351.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,47.2
125,Pd,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,401.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,66.1
126,Pt,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,149.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,3.92
127,Pt,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,200.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,1.63
128,Pt,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,250.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,23.9
129,Pt,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,300.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,39.9
130,Pt,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,350.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,24.6
131,Rh,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,149.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,2.74
132,Rh,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,250.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,25.1
133,Rh,2.0,0,0.0,WI,0,500,3.0,Al2O3,0,1.0,0.0,La,10.0,0,0.0,300.0,37.5,0.0,1.3,25.0,12.5,0.0,60.0,5.0,87.2
